dataset,seed,layers,val_ratio,test_ratio,data_source,use_features,original_graph_only,rewiring,best_test_accuracy
Actor,111,2,0.05,0.1,rawr,False,True,False,0.26973684210526316
Actor,222,2,0.05,0.1,rawr,False,True,False,0.2618421052631579
Actor,333,2,0.05,0.1,rawr,False,True,False,0.2776315789473684
Actor,444,2,0.05,0.1,rawr,False,True,False,0.25
Actor,555,2,0.05,0.1,rawr,False,True,False,0.26842105263157895
Chameleon,111,2,0.05,0.1,rawr,False,True,False,0.4669603524229075
Chameleon,222,2,0.05,0.1,rawr,False,True,False,0.5198237885462555
Chameleon,333,2,0.05,0.1,rawr,False,True,False,0.5242290748898678
Chameleon,444,2,0.05,0.1,rawr,False,True,False,0.4801762114537445
Chameleon,555,2,0.05,0.1,rawr,False,True,False,0.5066079295154186
Citeseer,111,2,0.05,0.1,rawr,False,True,False,0.4879518072289157
Citeseer,222,2,0.05,0.1,rawr,False,True,False,0.463855421686747
Citeseer,333,2,0.05,0.1,rawr,False,True,False,0.4578313253012048
Citeseer,444,2,0.05,0.1,rawr,False,True,False,0.4126506024096386
Citeseer,555,2,0.05,0.1,rawr,False,True,False,0.4246987951807229
Cora,111,2,0.05,0.1,rawr,False,True,False,0.6703703703703704
Cora,222,2,0.05,0.1,rawr,False,True,False,0.7407407407407407
Cora,333,2,0.05,0.1,rawr,False,True,False,0.725925925925926
Cora,444,2,0.05,0.1,rawr,False,True,False,0.6592592592592592
Cora,555,2,0.05,0.1,rawr,False,True,False,0.737037037037037
Cornell,111,2,0.05,0.1,rawr,False,True,False,0.5555555555555556
Cornell,222,2,0.05,0.1,rawr,False,True,False,0.3888888888888889
Cornell,333,2,0.05,0.1,rawr,False,True,False,0.3333333333333333
Cornell,444,2,0.05,0.1,rawr,False,True,False,0.5
Cornell,555,2,0.05,0.1,rawr,False,True,False,0.5
PubMed,111,2,0.05,0.1,rawr,False,True,False,0.649923896499239
PubMed,222,2,0.05,0.1,rawr,False,True,False,0.6585489599188229
PubMed,333,2,0.05,0.1,rawr,False,True,False,0.6900050735667174
PubMed,444,2,0.05,0.1,rawr,False,True,False,0.5657026889903602
PubMed,555,2,0.05,0.1,rawr,False,True,False,0.6864535768645358
Squirrel,111,2,0.05,0.1,rawr,False,True,False,0.2980769230769231
Squirrel,222,2,0.05,0.1,rawr,False,True,False,0.3019230769230769
Squirrel,333,2,0.05,0.1,rawr,False,True,False,0.31346153846153846
Squirrel,444,2,0.05,0.1,rawr,False,True,False,0.3076923076923077
Squirrel,555,2,0.05,0.1,rawr,False,True,False,0.2980769230769231
Texas,111,2,0.05,0.1,rawr,False,True,False,0.6111111111111112
Texas,222,2,0.05,0.1,rawr,False,True,False,0.6111111111111112
Texas,333,2,0.05,0.1,rawr,False,True,False,0.2222222222222222
Texas,444,2,0.05,0.1,rawr,False,True,False,0.3888888888888889
Texas,555,2,0.05,0.1,rawr,False,True,False,0.5
Wisconsin,111,2,0.05,0.1,rawr,False,True,False,0.6
Wisconsin,222,2,0.05,0.1,rawr,False,True,False,0.48
Wisconsin,333,2,0.05,0.1,rawr,False,True,False,0.64
Wisconsin,444,2,0.05,0.1,rawr,False,True,False,0.68
Wisconsin,555,2,0.05,0.1,rawr,False,True,False,0.44
