dataset,seed,layers,val_ratio,test_ratio,data_source,use_features,rewiring_mode,rewiring_epsilon,original_graph_only,rewiring,best_test_accuracy
Actor,111,2,0.05,0.1,rawr,True,rep_edges,0,False,True,0.3078947368421053
Actor,111,2,0.05,0.1,rawr,True,rep_edges,2,False,True,0.3223684210526316
Actor,111,2,0.05,0.1,rawr,True,rep_edges,4,False,True,0.3013157894736842
Actor,111,2,0.05,0.1,rawr,True,rep_edges,8,False,True,0.29078947368421054
Actor,111,2,0.05,0.1,rawr,True,rep_edges,1303,False,True,0.3078947368421053
Actor,222,2,0.05,0.1,rawr,True,rep_edges,0,False,True,0.26973684210526316
Actor,222,2,0.05,0.1,rawr,True,rep_edges,2,False,True,0.2802631578947368
Actor,222,2,0.05,0.1,rawr,True,rep_edges,4,False,True,0.2802631578947368
Actor,222,2,0.05,0.1,rawr,True,rep_edges,8,False,True,0.28421052631578947
Actor,222,2,0.05,0.1,rawr,True,rep_edges,1303,False,True,0.2789473684210526
Actor,333,2,0.05,0.1,rawr,True,rep_edges,0,False,True,0.325
Actor,333,2,0.05,0.1,rawr,True,rep_edges,2,False,True,0.30394736842105263
Actor,333,2,0.05,0.1,rawr,True,rep_edges,4,False,True,0.3144736842105263
Actor,333,2,0.05,0.1,rawr,True,rep_edges,8,False,True,0.31973684210526315
Actor,333,2,0.05,0.1,rawr,True,rep_edges,1303,False,True,0.30526315789473685
Actor,444,2,0.05,0.1,rawr,True,rep_edges,0,False,True,0.29078947368421054
Actor,444,2,0.05,0.1,rawr,True,rep_edges,2,False,True,0.27631578947368424
Actor,444,2,0.05,0.1,rawr,True,rep_edges,4,False,True,0.2881578947368421
Actor,444,2,0.05,0.1,rawr,True,rep_edges,8,False,True,0.29210526315789476
Actor,444,2,0.05,0.1,rawr,True,rep_edges,1303,False,True,0.2802631578947368
Actor,555,2,0.05,0.1,rawr,True,rep_edges,0,False,True,0.2802631578947368
Actor,555,2,0.05,0.1,rawr,True,rep_edges,2,False,True,0.2881578947368421
Actor,555,2,0.05,0.1,rawr,True,rep_edges,4,False,True,0.2789473684210526
Actor,555,2,0.05,0.1,rawr,True,rep_edges,8,False,True,0.2789473684210526
Actor,555,2,0.05,0.1,rawr,True,rep_edges,1303,False,True,0.2855263157894737
Chameleon,111,2,0.05,0.1,rawr,True,rep_edges,0,False,True,0.44933920704845814
Chameleon,111,2,0.05,0.1,rawr,True,rep_edges,6,False,True,0.4185022026431718
Chameleon,111,2,0.05,0.1,rawr,True,rep_edges,12,False,True,0.43171806167400884
Chameleon,111,2,0.05,0.1,rawr,True,rep_edges,29,False,True,0.4052863436123348
Chameleon,111,2,0.05,0.1,rawr,True,rep_edges,732,False,True,0.4185022026431718
Chameleon,222,2,0.05,0.1,rawr,True,rep_edges,0,False,True,0.44933920704845814
Chameleon,222,2,0.05,0.1,rawr,True,rep_edges,6,False,True,0.4713656387665198
Chameleon,222,2,0.05,0.1,rawr,True,rep_edges,12,False,True,0.44933920704845814
Chameleon,222,2,0.05,0.1,rawr,True,rep_edges,29,False,True,0.46255506607929514
Chameleon,222,2,0.05,0.1,rawr,True,rep_edges,732,False,True,0.44933920704845814
Chameleon,333,2,0.05,0.1,rawr,True,rep_edges,0,False,True,0.4889867841409692
Chameleon,333,2,0.05,0.1,rawr,True,rep_edges,6,False,True,0.4889867841409692
Chameleon,333,2,0.05,0.1,rawr,True,rep_edges,12,False,True,0.43171806167400884
Chameleon,333,2,0.05,0.1,rawr,True,rep_edges,29,False,True,0.44933920704845814
Chameleon,333,2,0.05,0.1,rawr,True,rep_edges,732,False,True,0.46255506607929514
Chameleon,444,2,0.05,0.1,rawr,True,rep_edges,0,False,True,0.44493392070484583
Chameleon,444,2,0.05,0.1,rawr,True,rep_edges,6,False,True,0.43171806167400884
Chameleon,444,2,0.05,0.1,rawr,True,rep_edges,12,False,True,0.44052863436123346
Chameleon,444,2,0.05,0.1,rawr,True,rep_edges,29,False,True,0.43612334801762115
Chameleon,444,2,0.05,0.1,rawr,True,rep_edges,732,False,True,0.43171806167400884
Chameleon,555,2,0.05,0.1,rawr,True,rep_edges,0,False,True,0.45374449339207046
Chameleon,555,2,0.05,0.1,rawr,True,rep_edges,6,False,True,0.44052863436123346
Chameleon,555,2,0.05,0.1,rawr,True,rep_edges,12,False,True,0.46255506607929514
Chameleon,555,2,0.05,0.1,rawr,True,rep_edges,29,False,True,0.43612334801762115
Chameleon,555,2,0.05,0.1,rawr,True,rep_edges,732,False,True,0.4581497797356828
Citeseer,111,2,0.05,0.1,rawr,True,rep_edges,0,False,True,0.6746987951807228
Citeseer,111,2,0.05,0.1,rawr,True,rep_edges,1,False,True,0.677710843373494
Citeseer,111,2,0.05,0.1,rawr,True,rep_edges,2,False,True,0.6716867469879518
Citeseer,111,2,0.05,0.1,rawr,True,rep_edges,3,False,True,0.6837349397590361
Citeseer,111,2,0.05,0.1,rawr,True,rep_edges,99,False,True,0.6716867469879518
Citeseer,222,2,0.05,0.1,rawr,True,rep_edges,0,False,True,0.6506024096385542
Citeseer,222,2,0.05,0.1,rawr,True,rep_edges,1,False,True,0.641566265060241
Citeseer,222,2,0.05,0.1,rawr,True,rep_edges,2,False,True,0.6566265060240963
