dataset,seed,layers,val_ratio,test_ratio,data_source,use_features,rewiring_mode,rewiring_epsilon,original_graph_only,rewiring,best_test_accuracy
Actor,111,2,0.05,0.1,rawr,False,rep_edges,0,False,True,0.2644736842105263
Actor,111,2,0.05,0.1,rawr,False,rep_edges,2,False,True,0.26842105263157895
Actor,111,2,0.05,0.1,rawr,False,rep_edges,4,False,True,0.2710526315789474
Actor,111,2,0.05,0.1,rawr,False,rep_edges,8,False,True,0.2710526315789474
Actor,111,2,0.05,0.1,rawr,False,rep_edges,1303,False,True,0.2789473684210526
Actor,222,2,0.05,0.1,rawr,False,rep_edges,0,False,True,0.25526315789473686
Actor,222,2,0.05,0.1,rawr,False,rep_edges,2,False,True,0.26973684210526316
Actor,222,2,0.05,0.1,rawr,False,rep_edges,4,False,True,0.275
Actor,222,2,0.05,0.1,rawr,False,rep_edges,8,False,True,0.25921052631578945
Actor,222,2,0.05,0.1,rawr,False,rep_edges,1303,False,True,0.26842105263157895
Actor,333,2,0.05,0.1,rawr,False,rep_edges,0,False,True,0.27631578947368424
Actor,333,2,0.05,0.1,rawr,False,rep_edges,2,False,True,0.2789473684210526
Actor,333,2,0.05,0.1,rawr,False,rep_edges,4,False,True,0.2736842105263158
Actor,333,2,0.05,0.1,rawr,False,rep_edges,8,False,True,0.2776315789473684
Actor,333,2,0.05,0.1,rawr,False,rep_edges,1303,False,True,0.2618421052631579
Actor,444,2,0.05,0.1,rawr,False,rep_edges,0,False,True,0.25263157894736843
Actor,444,2,0.05,0.1,rawr,False,rep_edges,2,False,True,0.25921052631578945
Actor,444,2,0.05,0.1,rawr,False,rep_edges,4,False,True,0.25921052631578945
Actor,444,2,0.05,0.1,rawr,False,rep_edges,8,False,True,0.2565789473684211
Actor,444,2,0.05,0.1,rawr,False,rep_edges,1303,False,True,0.2618421052631579
Actor,555,2,0.05,0.1,rawr,False,rep_edges,0,False,True,0.2631578947368421
Actor,555,2,0.05,0.1,rawr,False,rep_edges,2,False,True,0.2618421052631579
Actor,555,2,0.05,0.1,rawr,False,rep_edges,4,False,True,0.2618421052631579
Actor,555,2,0.05,0.1,rawr,False,rep_edges,8,False,True,0.2565789473684211
Actor,555,2,0.05,0.1,rawr,False,rep_edges,1303,False,True,0.25921052631578945
Chameleon,111,2,0.05,0.1,rawr,False,rep_edges,0,False,True,0.5154185022026432
Chameleon,111,2,0.05,0.1,rawr,False,rep_edges,6,False,True,0.4669603524229075
Chameleon,111,2,0.05,0.1,rawr,False,rep_edges,12,False,True,0.44933920704845814
Chameleon,111,2,0.05,0.1,rawr,False,rep_edges,29,False,True,0.46255506607929514
Chameleon,111,2,0.05,0.1,rawr,False,rep_edges,732,False,True,0.44493392070484583
Chameleon,222,2,0.05,0.1,rawr,False,rep_edges,0,False,True,0.4977973568281938
Chameleon,222,2,0.05,0.1,rawr,False,rep_edges,6,False,True,0.5154185022026432
Chameleon,222,2,0.05,0.1,rawr,False,rep_edges,12,False,True,0.5066079295154186
Chameleon,222,2,0.05,0.1,rawr,False,rep_edges,29,False,True,0.4977973568281938
Chameleon,222,2,0.05,0.1,rawr,False,rep_edges,732,False,True,0.5022026431718062
Chameleon,333,2,0.05,0.1,rawr,False,rep_edges,0,False,True,0.5374449339207048
Chameleon,333,2,0.05,0.1,rawr,False,rep_edges,6,False,True,0.5066079295154186
Chameleon,333,2,0.05,0.1,rawr,False,rep_edges,12,False,True,0.5022026431718062
Chameleon,333,2,0.05,0.1,rawr,False,rep_edges,29,False,True,0.5066079295154186
Chameleon,333,2,0.05,0.1,rawr,False,rep_edges,732,False,True,0.5110132158590308
Chameleon,444,2,0.05,0.1,rawr,False,rep_edges,0,False,True,0.4889867841409692
Chameleon,444,2,0.05,0.1,rawr,False,rep_edges,6,False,True,0.4669603524229075
Chameleon,444,2,0.05,0.1,rawr,False,rep_edges,12,False,True,0.4581497797356828
Chameleon,444,2,0.05,0.1,rawr,False,rep_edges,29,False,True,0.45374449339207046
Chameleon,444,2,0.05,0.1,rawr,False,rep_edges,732,False,True,0.4977973568281938
Chameleon,555,2,0.05,0.1,rawr,False,rep_edges,0,False,True,0.5154185022026432
Chameleon,555,2,0.05,0.1,rawr,False,rep_edges,6,False,True,0.4889867841409692
Chameleon,555,2,0.05,0.1,rawr,False,rep_edges,12,False,True,0.4669603524229075
Chameleon,555,2,0.05,0.1,rawr,False,rep_edges,29,False,True,0.46255506607929514
Chameleon,555,2,0.05,0.1,rawr,False,rep_edges,732,False,True,0.4889867841409692
Citeseer,111,2,0.05,0.1,rawr,False,rep_edges,0,False,True,0.45481927710843373
Citeseer,111,2,0.05,0.1,rawr,False,rep_edges,1,False,True,0.4578313253012048
Citeseer,111,2,0.05,0.1,rawr,False,rep_edges,2,False,True,0.4608433734939759
Citeseer,111,2,0.05,0.1,rawr,False,rep_edges,3,False,True,0.4759036144578313
Citeseer,111,2,0.05,0.1,rawr,False,rep_edges,99,False,True,0.4789156626506024
Citeseer,222,2,0.05,0.1,rawr,False,rep_edges,0,False,True,0.4457831325301205
Citeseer,222,2,0.05,0.1,rawr,False,rep_edges,1,False,True,0.42168674698795183
Citeseer,222,2,0.05,0.1,rawr,False,rep_edges,2,False,True,0.43373493975903615
Citeseer,222,2,0.05,0.1,rawr,False,rep_edges,3,False,True,0.4457831325301205
Citeseer,222,2,0.05,0.1,rawr,False,rep_edges,99,False,True,0.4427710843373494
Citeseer,333,2,0.05,0.1,rawr,False,rep_edges,0,False,True,0.42168674698795183
Citeseer,333,2,0.05,0.1,rawr,False,rep_edges,1,False,True,0.43373493975903615
Citeseer,333,2,0.05,0.1,rawr,False,rep_edges,2,False,True,0.45481927710843373
Citeseer,333,2,0.05,0.1,rawr,False,rep_edges,3,False,True,0.4397590361445783
Citeseer,333,2,0.05,0.1,rawr,False,rep_edges,99,False,True,0.45481927710843373
Citeseer,444,2,0.05,0.1,rawr,False,rep_edges,0,False,True,0.4819277108433735
Citeseer,444,2,0.05,0.1,rawr,False,rep_edges,1,False,True,0.4608433734939759
Citeseer,444,2,0.05,0.1,rawr,False,rep_edges,2,False,True,0.49698795180722893
Citeseer,444,2,0.05,0.1,rawr,False,rep_edges,3,False,True,0.5210843373493976
Citeseer,444,2,0.05,0.1,rawr,False,rep_edges,99,False,True,0.48493975903614456
Citeseer,555,2,0.05,0.1,rawr,False,rep_edges,0,False,True,0.42771084337349397
Citeseer,555,2,0.05,0.1,rawr,False,rep_edges,1,False,True,0.40963855421686746
Citeseer,555,2,0.05,0.1,rawr,False,rep_edges,2,False,True,0.40963855421686746
Citeseer,555,2,0.05,0.1,rawr,False,rep_edges,3,False,True,0.43373493975903615
Citeseer,555,2,0.05,0.1,rawr,False,rep_edges,99,False,True,0.4578313253012048
Cora,111,2,0.05,0.1,rawr,False,rep_edges,0,False,True,0.6481481481481481
Cora,111,2,0.05,0.1,rawr,False,rep_edges,2,False,True,0.6777777777777778
Cora,111,2,0.05,0.1,rawr,False,rep_edges,3,False,True,0.662962962962963
Cora,111,2,0.05,0.1,rawr,False,rep_edges,5,False,True,0.5925925925925926
Cora,111,2,0.05,0.1,rawr,False,rep_edges,168,False,True,0.662962962962963
Cora,222,2,0.05,0.1,rawr,False,rep_edges,0,False,True,0.7111111111111111
Cora,222,2,0.05,0.1,rawr,False,rep_edges,2,False,True,0.6962962962962963
Cora,222,2,0.05,0.1,rawr,False,rep_edges,3,False,True,0.7148148148148148
Cora,222,2,0.05,0.1,rawr,False,rep_edges,5,False,True,0.7222222222222222
Cora,222,2,0.05,0.1,rawr,False,rep_edges,168,False,True,0.725925925925926
Cora,333,2,0.05,0.1,rawr,False,rep_edges,0,False,True,0.7
Cora,333,2,0.05,0.1,rawr,False,rep_edges,2,False,True,0.7037037037037037
Cora,333,2,0.05,0.1,rawr,False,rep_edges,3,False,True,0.7037037037037037
Cora,333,2,0.05,0.1,rawr,False,rep_edges,5,False,True,0.7222222222222222
Cora,333,2,0.05,0.1,rawr,False,rep_edges,168,False,True,0.6925925925925925
Cora,444,2,0.05,0.1,rawr,False,rep_edges,0,False,True,0.7333333333333333
Cora,444,2,0.05,0.1,rawr,False,rep_edges,2,False,True,0.7074074074074074
Cora,444,2,0.05,0.1,rawr,False,rep_edges,3,False,True,0.7148148148148148
Cora,444,2,0.05,0.1,rawr,False,rep_edges,5,False,True,0.6888888888888889
Cora,444,2,0.05,0.1,rawr,False,rep_edges,168,False,True,0.7444444444444445
Cora,555,2,0.05,0.1,rawr,False,rep_edges,0,False,True,0.6962962962962963
Cora,555,2,0.05,0.1,rawr,False,rep_edges,2,False,True,0.7
Cora,555,2,0.05,0.1,rawr,False,rep_edges,3,False,True,0.7
Cora,555,2,0.05,0.1,rawr,False,rep_edges,5,False,True,0.7074074074074074
Cora,555,2,0.05,0.1,rawr,False,rep_edges,168,False,True,0.7185185185185186
Cornell,111,2,0.05,0.1,rawr,False,rep_edges,0,False,True,0.6111111111111112
Cornell,111,2,0.05,0.1,rawr,False,rep_edges,1,False,True,0.5555555555555556
Cornell,111,2,0.05,0.1,rawr,False,rep_edges,2,False,True,0.5555555555555556
Cornell,111,2,0.05,0.1,rawr,False,rep_edges,4,False,True,0.5555555555555556
Cornell,111,2,0.05,0.1,rawr,False,rep_edges,94,False,True,0.5555555555555556
Cornell,222,2,0.05,0.1,rawr,False,rep_edges,0,False,True,0.3888888888888889
Cornell,222,2,0.05,0.1,rawr,False,rep_edges,1,False,True,0.3333333333333333
Cornell,222,2,0.05,0.1,rawr,False,rep_edges,2,False,True,0.3333333333333333
Cornell,222,2,0.05,0.1,rawr,False,rep_edges,4,False,True,0.3333333333333333
Cornell,222,2,0.05,0.1,rawr,False,rep_edges,94,False,True,0.3333333333333333
Cornell,333,2,0.05,0.1,rawr,False,rep_edges,0,False,True,0.3333333333333333
Cornell,333,2,0.05,0.1,rawr,False,rep_edges,1,False,True,0.3333333333333333
Cornell,333,2,0.05,0.1,rawr,False,rep_edges,2,False,True,0.3333333333333333
Cornell,333,2,0.05,0.1,rawr,False,rep_edges,4,False,True,0.3333333333333333
Cornell,333,2,0.05,0.1,rawr,False,rep_edges,94,False,True,0.3333333333333333
Cornell,444,2,0.05,0.1,rawr,False,rep_edges,0,False,True,0.5
Cornell,444,2,0.05,0.1,rawr,False,rep_edges,1,False,True,0.5
Cornell,444,2,0.05,0.1,rawr,False,rep_edges,2,False,True,0.5
Cornell,444,2,0.05,0.1,rawr,False,rep_edges,4,False,True,0.5
Cornell,444,2,0.05,0.1,rawr,False,rep_edges,94,False,True,0.5
Cornell,555,2,0.05,0.1,rawr,False,rep_edges,0,False,True,0.5
Cornell,555,2,0.05,0.1,rawr,False,rep_edges,1,False,True,0.4444444444444444
Cornell,555,2,0.05,0.1,rawr,False,rep_edges,2,False,True,0.5
Cornell,555,2,0.05,0.1,rawr,False,rep_edges,4,False,True,0.5
Cornell,555,2,0.05,0.1,rawr,False,rep_edges,94,False,True,0.5
PubMed,111,2,0.05,0.1,rawr,False,rep_edges,0,False,True,0.6357179096905125
PubMed,111,2,0.05,0.1,rawr,False,rep_edges,1,False,True,0.6428209030948757
PubMed,111,2,0.05,0.1,rawr,False,rep_edges,2,False,True,0.6270928462709284
PubMed,111,2,0.05,0.1,rawr,False,rep_edges,4,False,True,0.6215119228817859
PubMed,111,2,0.05,0.1,rawr,False,rep_edges,171,False,True,0.6291222729578894
PubMed,222,2,0.05,0.1,rawr,False,rep_edges,0,False,True,0.6448503297818367
PubMed,222,2,0.05,0.1,rawr,False,rep_edges,1,False,True,0.6367326230339929
PubMed,222,2,0.05,0.1,rawr,False,rep_edges,2,False,True,0.639269406392694
PubMed,222,2,0.05,0.1,rawr,False,rep_edges,4,False,True,0.6448503297818367
PubMed,222,2,0.05,0.1,rawr,False,rep_edges,171,False,True,0.6438356164383562
PubMed,333,2,0.05,0.1,rawr,False,rep_edges,0,False,True,0.6732623033992897
PubMed,333,2,0.05,0.1,rawr,False,rep_edges,1,False,True,0.6808726534753932
PubMed,333,2,0.05,0.1,rawr,False,rep_edges,2,False,True,0.6763064434297311
PubMed,333,2,0.05,0.1,rawr,False,rep_edges,4,False,True,0.6560121765601218
PubMed,333,2,0.05,0.1,rawr,False,rep_edges,171,False,True,0.6712328767123288
PubMed,444,2,0.05,0.1,rawr,False,rep_edges,0,False,True,0.5134449518011162
PubMed,444,2,0.05,0.1,rawr,False,rep_edges,1,False,True,0.6047691527143582
PubMed,444,2,0.05,0.1,rawr,False,rep_edges,2,False,True,0.5733130390664637
PubMed,444,2,0.05,0.1,rawr,False,rep_edges,4,False,True,0.5423642820903095
PubMed,444,2,0.05,0.1,rawr,False,rep_edges,171,False,True,0.5235920852359208
PubMed,555,2,0.05,0.1,rawr,False,rep_edges,0,False,True,0.6884830035514967
PubMed,555,2,0.05,0.1,rawr,False,rep_edges,1,False,True,0.6763064434297311
PubMed,555,2,0.05,0.1,rawr,False,rep_edges,2,False,True,0.6798579401319127
PubMed,555,2,0.05,0.1,rawr,False,rep_edges,4,False,True,0.6707255200405885
PubMed,555,2,0.05,0.1,rawr,False,rep_edges,171,False,True,0.6829020801623541
Squirrel,111,2,0.05,0.1,rawr,False,rep_edges,0,False,True,0.31346153846153846
Squirrel,111,2,0.05,0.1,rawr,False,rep_edges,7,False,True,0.31346153846153846
Squirrel,111,2,0.05,0.1,rawr,False,rep_edges,17,False,True,0.29615384615384616
Squirrel,111,2,0.05,0.1,rawr,False,rep_edges,166,False,True,0.2980769230769231
Squirrel,111,2,0.05,0.1,rawr,False,rep_edges,1905,False,True,0.31153846153846154
Squirrel,222,2,0.05,0.1,rawr,False,rep_edges,0,False,True,0.3211538461538462
Squirrel,222,2,0.05,0.1,rawr,False,rep_edges,7,False,True,0.3096153846153846
Squirrel,222,2,0.05,0.1,rawr,False,rep_edges,17,False,True,0.3211538461538462
Squirrel,222,2,0.05,0.1,rawr,False,rep_edges,166,False,True,0.3384615384615385
Squirrel,222,2,0.05,0.1,rawr,False,rep_edges,1905,False,True,0.3192307692307692
Squirrel,333,2,0.05,0.1,rawr,False,rep_edges,0,False,True,0.3096153846153846
Squirrel,333,2,0.05,0.1,rawr,False,rep_edges,7,False,True,0.3192307692307692
Squirrel,333,2,0.05,0.1,rawr,False,rep_edges,17,False,True,0.3230769230769231
Squirrel,333,2,0.05,0.1,rawr,False,rep_edges,166,False,True,0.29615384615384616
Squirrel,333,2,0.05,0.1,rawr,False,rep_edges,1905,False,True,0.3096153846153846
Squirrel,444,2,0.05,0.1,rawr,False,rep_edges,0,False,True,0.31153846153846154
Squirrel,444,2,0.05,0.1,rawr,False,rep_edges,7,False,True,0.3057692307692308
Squirrel,444,2,0.05,0.1,rawr,False,rep_edges,17,False,True,0.3153846153846154
Squirrel,444,2,0.05,0.1,rawr,False,rep_edges,166,False,True,0.32884615384615384
Squirrel,444,2,0.05,0.1,rawr,False,rep_edges,1905,False,True,0.3057692307692308
Squirrel,555,2,0.05,0.1,rawr,False,rep_edges,0,False,True,0.3038461538461538
Squirrel,555,2,0.05,0.1,rawr,False,rep_edges,7,False,True,0.2980769230769231
Squirrel,555,2,0.05,0.1,rawr,False,rep_edges,17,False,True,0.3057692307692308
Squirrel,555,2,0.05,0.1,rawr,False,rep_edges,166,False,True,0.3019230769230769
Squirrel,555,2,0.05,0.1,rawr,False,rep_edges,1905,False,True,0.29615384615384616
Texas,111,2,0.05,0.1,rawr,False,rep_edges,0,False,True,0.6666666666666666
Texas,111,2,0.05,0.1,rawr,False,rep_edges,1,False,True,0.6666666666666666
Texas,111,2,0.05,0.1,rawr,False,rep_edges,2,False,True,0.6111111111111112
Texas,111,2,0.05,0.1,rawr,False,rep_edges,3,False,True,0.6666666666666666
Texas,111,2,0.05,0.1,rawr,False,rep_edges,104,False,True,0.6111111111111112
Texas,222,2,0.05,0.1,rawr,False,rep_edges,0,False,True,0.6111111111111112
Texas,222,2,0.05,0.1,rawr,False,rep_edges,1,False,True,0.6111111111111112
Texas,222,2,0.05,0.1,rawr,False,rep_edges,2,False,True,0.6111111111111112
Texas,222,2,0.05,0.1,rawr,False,rep_edges,3,False,True,0.6111111111111112
Texas,222,2,0.05,0.1,rawr,False,rep_edges,104,False,True,0.6111111111111112
Texas,333,2,0.05,0.1,rawr,False,rep_edges,0,False,True,0.2777777777777778
Texas,333,2,0.05,0.1,rawr,False,rep_edges,1,False,True,0.2222222222222222
Texas,333,2,0.05,0.1,rawr,False,rep_edges,2,False,True,0.2777777777777778
Texas,333,2,0.05,0.1,rawr,False,rep_edges,3,False,True,0.2777777777777778
Texas,333,2,0.05,0.1,rawr,False,rep_edges,104,False,True,0.2222222222222222
Texas,444,2,0.05,0.1,rawr,False,rep_edges,0,False,True,0.3888888888888889
Texas,444,2,0.05,0.1,rawr,False,rep_edges,1,False,True,0.3888888888888889
Texas,444,2,0.05,0.1,rawr,False,rep_edges,2,False,True,0.3888888888888889
Texas,444,2,0.05,0.1,rawr,False,rep_edges,3,False,True,0.3888888888888889
Texas,444,2,0.05,0.1,rawr,False,rep_edges,104,False,True,0.3888888888888889
Texas,555,2,0.05,0.1,rawr,False,rep_edges,0,False,True,0.5555555555555556
Texas,555,2,0.05,0.1,rawr,False,rep_edges,1,False,True,0.5
Texas,555,2,0.05,0.1,rawr,False,rep_edges,2,False,True,0.5
Texas,555,2,0.05,0.1,rawr,False,rep_edges,3,False,True,0.5
Texas,555,2,0.05,0.1,rawr,False,rep_edges,104,False,True,0.5
Wisconsin,111,2,0.05,0.1,rawr,False,rep_edges,0,False,True,0.56
Wisconsin,111,2,0.05,0.1,rawr,False,rep_edges,1,False,True,0.64
Wisconsin,111,2,0.05,0.1,rawr,False,rep_edges,2,False,True,0.64
Wisconsin,111,2,0.05,0.1,rawr,False,rep_edges,4,False,True,0.64
Wisconsin,111,2,0.05,0.1,rawr,False,rep_edges,122,False,True,0.64
Wisconsin,222,2,0.05,0.1,rawr,False,rep_edges,0,False,True,0.48
Wisconsin,222,2,0.05,0.1,rawr,False,rep_edges,1,False,True,0.48
Wisconsin,222,2,0.05,0.1,rawr,False,rep_edges,2,False,True,0.48
Wisconsin,222,2,0.05,0.1,rawr,False,rep_edges,4,False,True,0.48
Wisconsin,222,2,0.05,0.1,rawr,False,rep_edges,122,False,True,0.48
Wisconsin,333,2,0.05,0.1,rawr,False,rep_edges,0,False,True,0.6
Wisconsin,333,2,0.05,0.1,rawr,False,rep_edges,1,False,True,0.6
Wisconsin,333,2,0.05,0.1,rawr,False,rep_edges,2,False,True,0.6
Wisconsin,333,2,0.05,0.1,rawr,False,rep_edges,4,False,True,0.6
Wisconsin,333,2,0.05,0.1,rawr,False,rep_edges,122,False,True,0.6
Wisconsin,444,2,0.05,0.1,rawr,False,rep_edges,0,False,True,0.68
Wisconsin,444,2,0.05,0.1,rawr,False,rep_edges,1,False,True,0.68
Wisconsin,444,2,0.05,0.1,rawr,False,rep_edges,2,False,True,0.72
Wisconsin,444,2,0.05,0.1,rawr,False,rep_edges,4,False,True,0.68
Wisconsin,444,2,0.05,0.1,rawr,False,rep_edges,122,False,True,0.64
Wisconsin,555,2,0.05,0.1,rawr,False,rep_edges,0,False,True,0.44
Wisconsin,555,2,0.05,0.1,rawr,False,rep_edges,1,False,True,0.44
Wisconsin,555,2,0.05,0.1,rawr,False,rep_edges,2,False,True,0.4
Wisconsin,555,2,0.05,0.1,rawr,False,rep_edges,4,False,True,0.44
Wisconsin,555,2,0.05,0.1,rawr,False,rep_edges,122,False,True,0.4
