dataset,seed,layers,val_ratio,test_ratio,data_source,use_features,rewiring_mode,rewiring_epsilon,original_graph_only,rewiring,best_test_accuracy
Actor,111,2,0.05,0.1,rawr,True,rep_nodes,0,False,True,0.30394736842105263
Actor,111,2,0.05,0.1,rawr,True,rep_nodes,2,False,True,0.3171052631578947
Actor,111,2,0.05,0.1,rawr,True,rep_nodes,4,False,True,0.3
Actor,111,2,0.05,0.1,rawr,True,rep_nodes,8,False,True,0.29473684210526313
Actor,111,2,0.05,0.1,rawr,True,rep_nodes,1303,False,True,0.3105263157894737
Actor,222,2,0.05,0.1,rawr,True,rep_nodes,0,False,True,0.25921052631578945
Actor,222,2,0.05,0.1,rawr,True,rep_nodes,2,False,True,0.2776315789473684
Actor,222,2,0.05,0.1,rawr,True,rep_nodes,4,False,True,0.2776315789473684
Actor,222,2,0.05,0.1,rawr,True,rep_nodes,8,False,True,0.2855263157894737
Actor,222,2,0.05,0.1,rawr,True,rep_nodes,1303,False,True,0.2789473684210526
Actor,333,2,0.05,0.1,rawr,True,rep_nodes,0,False,True,0.325
Actor,333,2,0.05,0.1,rawr,True,rep_nodes,2,False,True,0.3026315789473684
Actor,333,2,0.05,0.1,rawr,True,rep_nodes,4,False,True,0.3144736842105263
Actor,333,2,0.05,0.1,rawr,True,rep_nodes,8,False,True,0.31842105263157894
Actor,333,2,0.05,0.1,rawr,True,rep_nodes,1303,False,True,0.30526315789473685
Actor,444,2,0.05,0.1,rawr,True,rep_nodes,0,False,True,0.29736842105263156
Actor,444,2,0.05,0.1,rawr,True,rep_nodes,2,False,True,0.28289473684210525
Actor,444,2,0.05,0.1,rawr,True,rep_nodes,4,False,True,0.2855263157894737
Actor,444,2,0.05,0.1,rawr,True,rep_nodes,8,False,True,0.2868421052631579
Actor,444,2,0.05,0.1,rawr,True,rep_nodes,1303,False,True,0.2802631578947368
Actor,555,2,0.05,0.1,rawr,True,rep_nodes,0,False,True,0.275
Actor,555,2,0.05,0.1,rawr,True,rep_nodes,2,False,True,0.29078947368421054
Actor,555,2,0.05,0.1,rawr,True,rep_nodes,4,False,True,0.2789473684210526
Actor,555,2,0.05,0.1,rawr,True,rep_nodes,8,False,True,0.2789473684210526
Actor,555,2,0.05,0.1,rawr,True,rep_nodes,1303,False,True,0.2855263157894737
Chameleon,111,2,0.05,0.1,rawr,True,rep_nodes,0,False,True,0.44933920704845814
Chameleon,111,2,0.05,0.1,rawr,True,rep_nodes,6,False,True,0.42731277533039647
Chameleon,111,2,0.05,0.1,rawr,True,rep_nodes,12,False,True,0.43171806167400884
Chameleon,111,2,0.05,0.1,rawr,True,rep_nodes,29,False,True,0.40969162995594716
Chameleon,111,2,0.05,0.1,rawr,True,rep_nodes,732,False,True,0.42731277533039647
Chameleon,222,2,0.05,0.1,rawr,True,rep_nodes,0,False,True,0.46255506607929514
Chameleon,222,2,0.05,0.1,rawr,True,rep_nodes,6,False,True,0.4581497797356828
Chameleon,222,2,0.05,0.1,rawr,True,rep_nodes,12,False,True,0.4669603524229075
Chameleon,222,2,0.05,0.1,rawr,True,rep_nodes,29,False,True,0.46255506607929514
Chameleon,222,2,0.05,0.1,rawr,True,rep_nodes,732,False,True,0.44493392070484583
Chameleon,333,2,0.05,0.1,rawr,True,rep_nodes,0,False,True,0.4845814977973568
Chameleon,333,2,0.05,0.1,rawr,True,rep_nodes,6,False,True,0.4933920704845815
Chameleon,333,2,0.05,0.1,rawr,True,rep_nodes,12,False,True,0.43612334801762115
Chameleon,333,2,0.05,0.1,rawr,True,rep_nodes,29,False,True,0.45374449339207046
Chameleon,333,2,0.05,0.1,rawr,True,rep_nodes,732,False,True,0.46255506607929514
Chameleon,444,2,0.05,0.1,rawr,True,rep_nodes,0,False,True,0.44933920704845814
Chameleon,444,2,0.05,0.1,rawr,True,rep_nodes,6,False,True,0.43612334801762115
Chameleon,444,2,0.05,0.1,rawr,True,rep_nodes,12,False,True,0.43612334801762115
Chameleon,444,2,0.05,0.1,rawr,True,rep_nodes,29,False,True,0.43612334801762115
Chameleon,444,2,0.05,0.1,rawr,True,rep_nodes,732,False,True,0.43612334801762115
Chameleon,555,2,0.05,0.1,rawr,True,rep_nodes,0,False,True,0.4581497797356828
Chameleon,555,2,0.05,0.1,rawr,True,rep_nodes,6,False,True,0.44493392070484583
Chameleon,555,2,0.05,0.1,rawr,True,rep_nodes,12,False,True,0.4669603524229075
Chameleon,555,2,0.05,0.1,rawr,True,rep_nodes,29,False,True,0.44052863436123346
Chameleon,555,2,0.05,0.1,rawr,True,rep_nodes,732,False,True,0.4581497797356828
Citeseer,111,2,0.05,0.1,rawr,True,rep_nodes,0,False,True,0.6686746987951807
Citeseer,111,2,0.05,0.1,rawr,True,rep_nodes,1,False,True,0.677710843373494
Citeseer,111,2,0.05,0.1,rawr,True,rep_nodes,2,False,True,0.6626506024096386
Citeseer,111,2,0.05,0.1,rawr,True,rep_nodes,3,False,True,0.6807228915662651
Citeseer,111,2,0.05,0.1,rawr,True,rep_nodes,99,False,True,0.6716867469879518
Citeseer,222,2,0.05,0.1,rawr,True,rep_nodes,0,False,True,0.6626506024096386
